ATBL21306109,A753196499355949,ATBL21306109,"Beli Tara",none,859709777900,"Stefan Albert",Instrumental,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATBL21306110,A824143110942813,ATBL21306110,"Tissa Ed Tulu",none,859709777900,"Stefan Albert",Instrumental,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATBL21306111,A911646234989235,ATBL21306111,"Chulut Uder",none,859709777900,"Stefan Albert",Instrumental,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATBL21306112,A845298089613003,ATBL21306112,"Sam Umba",none,859709777900,"Stefan Albert",Instrumental,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATBL21306113,A426228037267265,ATBL21306113,"Led Angui",none,859709777900,"Stefan Albert",Instrumental,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATBL21306114,A740886959202009,ATBL21306114,"Dagi Da",none,859709777900,"Stefan Albert",Instrumental,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATBL21306115,A465554305186725,ATBL21306115,"Dschimdan Ui",none,859709777900,"Stefan Albert",Instrumental,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATK791204801,A662686641149428,ATK791204801,"Castles",none,9120006230674,"Contrails",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATK791204802,A170289235906857,ATK791204802,"Point of Endings",none,9120006230674,"Contrails",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATK791204803,A644077789806810,ATK791204803,"Boats",none,9120006230674,"Contrails",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATK791204804,A459536081395776,ATK791204804,"Satellite",none,9120006230674,"Contrails",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATK791204805,A300573144421324,ATK791204805,"Feel Horizons",none,9120006230674,"Contrails",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATK791204806,A715433330380964,ATK791204806,"High Times",none,9120006230674,"Contrails",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATK791204807,A764799539618330,ATK791204807,"Walking Bones",none,9120006230674,"Contrails",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATK791204808,A129734018867260,ATK791204808,"New Ground",none,9120006230674,"Contrails",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATK791204809,A924107225816679,ATK791204809,"I, the Rocket",none,9120006230674,"Contrails",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATKK51100101,A312120534456446,ATKK51200101,"Blume",none,859708285932,"Herr Tischbein",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATKK51100105,A455326345960269,ATKK51100105,"Blume (Rokis Short Mix)",none,859707262361,"Herr Tischbein",Dance & Electronic,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATKK51100104,A576455575560009,ATKK51100104,"Blume (Rokis Mix)",none,859707262361,"Herr Tischbein",Dance & Electronic,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATKK51200101,A312120534456446,ATKK51200101,"Blume",none,859708285932,"Herr Tischbein",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATKK51200103,A467003930445912,ATKK51200103,"Wie Weihnachten",none,859708285932,"Herr Tischbein",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATKK51200106,A370941431880208,ATKK51200106,"Intro",none,859708285932,"Herr Tischbein",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATKK51200107,A670600814940110,ATKK51200107,"Eine Frage Der Zeit",none,859708285932,"Herr Tischbein",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATKK51200108,A849964459792603,ATKK51200108,"Meine Welt",none,859708285932,"Herr Tischbein",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
