Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Genre,Ownership,Ratio,Match Policy,,Refrence File
US34H0700040,6gZB9NcNFeI,US34H0700040,"(I'm Gonna) Party Like A Rockstar (Party Version)",none,none,"JTX",none,"EMI-100","EMI-include",,"",TRUE
US34H0700040,A838665152086395,US34H0700040,"TURN IT UP",none,none,"none",none,"","",,"",no status
US34H1103068,A358511457689441,US34H1103068,"Love In America",none,none,"JTX",none,"","",,"",no status
US34H1103547,A764527800599081,US34H1103547,"Love In America (Liam Keegan Radio Edit)",none,none,"JTX",none,"","",,"",no status
US34H1103548,GX38Of9G3_o,US34H1103548,"Love In America (Liam Keegan Extended Remix)",none,none,"JTX",none,"myvideorights_music-100","myvideorights_music-exclude",,"",no status
US34H1103549,A535084785124199,US34H1103549,"JTX Love In America",none,none,"JTX",Pop,"Base79_Music_affiliate-100","Base79_Music_affiliate-exclude",,"",
US34H1103549,C8IyqglSyyk,US34H1103549,"Love In America (Liam Keegan Radio Edit)",none,none,"JTX",none,"Base79_Music_affiliate-100","Base79_Music_affiliate-exclude",,"",no status
BEUM70800110,FxauGS2G-Ew,BEUM70800110,"1767307+kate_ryan-Ella_elle_l_a.mpg",none,8712944403442,"KATE RYAN",none,"SpinninRecords-100","SpinninRecords-exclude",,"",TRUE
BEUM70800110,LfHoDgo1kdU,BEUM70800110,"Ella Elle L'a",none,none,"Kate Ryan",none,"UMG-100","UMG-include",,"",TRUE
GBCFZ0900066,A819670158858627,GBCFZ0900066,"Ella Elle L'a",none,none,"Kate Ryan",none,"","",,"",
GBCFZ0900270,A537230328586622,GBCFZ0900270,"Ella Elle L'a",none,none,"Kate Ryan",none,"","",,"",
BEUM70800111,060prvMPF8w,BEUM70800111,"Ella Elle L A",none,00602517685512,"Kate Ryan",none,"UMG-100","UMG-include",,"",TRUE
BEUM70800277,0TU-5ALATpg,BEUM70800277,"Ella Elle L A (Jerry Ropero Bigroom Remix)",none,00602517731608,"Kate Ryan",Pop,"UMG-100","UMG-include",,"",TRUE
