Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Genre,Ownership,Ratio,Match Policy,,Refrence File
TCABS1324800,A213971058981316,TCABS1324800,"Healing Spa Sounds",none,859711672231,"Ahanu",Moods,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCAAU1176892,A177699732974821,TCAAU1176892,"Healing Steps",none,none,"Recovery: Relaxation, Meditation and Yoga Mus",none,"","",,"",
USTCF1097247,A971584349572268,USTCF1097247,"Healing Spirits",none,none,"The Spa Music Specialists",none,"","",,"",
USTC80992531,A341277407411683,USTC80992531,"Healing Sun Song",none,none,"Meditation Spa",none,"","",,"",
TCAAU1114173,A262811656336565,TCAAU1114173,"Healing Thaerapy",none,none,"Yoga, Meditation and Relaxation Music",none,"","",,"",
TCAAT1072026,A155543401126994,TCAAT1072026,"Healing The Pain",none,none,"Best of Healing Massage Music",none,"","",,"",
TCAAR1078599,A600545562652706,TCAAR1078599,"Healing Therapy",none,none,"Deep Sleep",none,"","",,"",
USTCG1085648,A459985553024369,USTCG1085648,"Healing Therapy Music",none,none,"Best of Healing Meditation",none,"","",,"",no status
TCABA1140063,A662659550759648,TCABA1140063,"Healing Tibetan Singing Bowl",none,none,"Tibetan Singing Bowl",none,"","",,"",no status
USTCD1086755,A575714117390276,USTCD1086755,"Healing Touch",none,none,"Ahanu Healing Therapy",none,"","",,"",
TCAAT1071997,A136395330365662,TCAAT1071997,"Healing Touch Massage",none,none,"Best of Healing Massage Music",none,"","",,"",
USTCD1086750,A754145206551381,USTCD1086750,"Healing Vibrations",none,none,"Ahanu Healing Therapy",none,"","",,"",
TCAAT1035078,A173064044988986,TCAAT1035078,"Healing Water",none,none,"Meditation With Gregorian Chants",none,"","",,"",
TCAAR1032351,A917435411264989,TCAAR1032351,"Healing Water Music",none,none,"Relaxing Meditation Yoga Music for Buddhism",none,"","",,"",
USTCF1097274,A658796877348052,USTCF1097274,"Healing Waters",none,none,"The Spa Music Specialists",none,"","",,"",
TCABS1324825,A734807886425785,TCABS1324825,"Healing Waters",none,859711672231,"Michael Silverman",Moods,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCAAR1072666,A861872586067635,TCAAR1072666,"Healing Waters - Music and Nature Sounds for Massage, Reiki, Yoga and Relaxation",none,859704501906,"Relaxing Sounds of Nature",Moods,"","",monetize,"",
USTC80992304,A138464716727510,USTC80992304,"Healing Waters (Reiki Overture)",none,none,"Meditation Spa",none,"","",,"",
USTCE1096763,A613421824832553,USTCE1096763,"Healing Waters For Massage And Relaxation",none,none,"Nature Sounds Meditation",none,"","",,"",
USTCF1007044,A955959370756379,USTCF1007044,"Healing Waters For Relaxation And Meditation",none,none,"Sleep Baby Sleep",none,"","",,"",
TCAAR1071835,A209892194725569,TCAAR1072649,"Gentle Thunderstorm",none,859704501906,"Relaxing Sounds of Nature",Moods,"","",monetize,"",
USTCG1089415,A460883032233796,USTCG1089415,"Healing Waters Music For Meditation And Massage",none,none,"Best of Relaxing Meditation and Massage Music",none,"","",,"",
USTCG1019288,A469119545974930,USTCG1019288,"Healing Waters, Music For Massage",none,none,"Relaxing Music Company",none,"","",,"",
TCAAR1060100,A156934642544570,TCAAR1060100,"Healing Waves",none,none,"Native American Meditations",none,"","",,"",
USTCG1062503,A612179702968310,USTCG1062503,"Healing With Music",none,none,"Ahanu Healing Massage Music",none,"","",,"",
USTCG1087738,A953893214387415,USTCG1087738,"Healing With Yoga",none,none,"Yoga Healing",none,"","",,"",
USTC60810000,A331327782742485,USTC60810000,"Healing Yoga Music",none,none,"Ahanu Music for Spa, Massage, Meditation, Tai Chi and Relaxation",none,"","",,"",
TCAAR1027425,A263804073803101,TCAAR1027425,"Healng Music",none,none,"Zen Meditation",none,"","",,"",
USTCD1086756,A366626259872212,USTCD1086756,"Health",none,none,"Ahanu Healing Therapy",none,"","",,"",
TCAAY1141392,A914575151233079,TCAAY1141392,"Heart Chakra",none,none,"Meditation: Tibetan Music Experience",none,"","",,"",
USTCD1088628,A622292351015407,USTCD1088628,"Heart Chakra: Continuous Gong for Meditation",none,none,"Tibetan Singing Bowls for Relaxation, Meditation and Chakra Balancing",none,"","",,"",
USTCC1093871,A975907399860466,USTCC1093871,"Heart Drum",none,none,"Chinese Relaxation and Meditation",none,"","",,"",
TCAAY1124322,A141852029783331,TCAAY1124322,"Heart Fitness",none,none,"Work Out Music",Other,"","",,"",
TCAAX1113162,A140785680541338,TCAAX1113162,"Heat",none,none,"Dubstep Consort",none,"","",,"",
USTCG1063882,A219075475606694,USTCG1063882,"Heaven",none,none,"Meditation Dreams",none,"","",,"",
USTCG1067806,A648517567406753,USTCG1067806,"Heavenly Massage",none,none,"Ahanu Healing Massage Music",none,"","",,"",
USTCG1056295,A277193077486705,USTCG1056295,"Heaven'S Gate",none,none,"Celtic Angels",none,"","",,"",
TCAAR1023401,A776663050867833,TCAAR1023401,"Heaven'S Quilt",none,none,"Deep Sleep Relaxation",none,"","",,"",
USTCD1048090,A307372190206973,USTCD1048090,"Heavy Metal Drums",none,none,"Heavy Metal Ringtones",none,"","",,"",no status
USTCC1093839,A514239016178319,USTCC1093839,"Hee Chan",none,none,"Chinese Relaxation and Meditation",none,"","",,"",
USTCF1028945,A828326657577333,USTCF1028945,"Hello And Goodbye",none,none,"Seoul Music Ensemble",none,"","",,"",
TCAAR1016157,A463695299210866,TCAAR1016157,"Hello Baby",none,none,"Prenatal Music for Yoga and Relaxation",none,"","",,"",
TCAAX1127912,A910433568050043,TCAAX1127912,"Help Your Baby Sleep",none,none,"Sleep Baby Sleep",none,"","",,"",
TCAAR1020767,A925964551370794,TCAAR1020767,"Help Your Baby Sleep Through The Night",none,none,"Twinkle Twinkle Little Star",none,"","",,"",
TCAAT1072416,A675112845760777,TCAAT1072416,"Henry The Cat",none,none,"Michael Silverman",none,"","",,"",
TCAAR1026786,A474512161542763,TCAAR1026786,"Herbal Spa",none,none,"Asian Zen",none,"","",,"",
USTCD1069671,A114681636691026,USTCD1069671,"Here'S What",none,none,"Michael Silverman Jazz Piano Trio",none,"","",,"",
