Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Genre,Ownership,Ratio,Match Policy,,Refrence File
TCABS1325118,A502991718421759,TCABS1325118,"Amazon Rainforest",none,none,"Sleep Sound Masters",none,"","",unknown,"",no status
TCAAR1068465,A641253260853404,TCAAR1068465,"Amazon Rainforest - Birds And Nature Sounds",none,none,"Relaxation and Meditation",none,"","",unknown,"",
TCAAU1173561,A166150086056600,TCAAU1173561,"Amazon Rainforest Ambience",none,none,"Zen Meditation",none,"","",unknown,"",
USTCF1007035,A575926386630798,USTCF1007035,"Amazon Rainforest For Sleeping Baby Mp3",none,none,"Sleep Baby Sleep",none,"","",unknown,"",
TCAAR1013206,A260502042271488,TCAAR1013206,"Amazon Rainforest Nature Sounds And Music",none,none,"Sleep and Meditation Group",none,"","",unknown,"",
USTCG1089457,A847677195340995,USTCG1089457,"Amazon Rainforest Relaxation",none,none,"Best of Relaxing Meditation and Massage Music",none,"","",unknown,"",
USTCE1096752,A465650625632078,USTCE1096752,"Amazon Relaxation Music",none,none,"Nature Sounds Meditation",none,"","",unknown,"",
TCAAZ1126819,A740450361722907,TCAAZ1126819,"Ambiance Lite Relaxing",none,none,"Relaxation Spa Music Masters",none,"","",unknown,"",
TCAAT1062915,A713623933917918,TCAAT1062915,"Ambience",none,none,"Restaurant Music",none,"","",unknown,"",
TCAAU1173556,A961828490149164,TCAAU1173556,"Ambient Aum Chant",none,none,"Zen Meditation",none,"","",unknown,"",
USTCG1056264,A662642544755914,USTCG1056264,"Ambient Cloud Of Light",none,none,"Celtic Angels",none,"","",unknown,"",
USTCG1095953,A716707735435650,USTCG1095953,"Ambient Clouds Of Light",none,none,"Celtic Spa Thunder and Lightning",none,"","",unknown,"",
TCAAY1198087,A875319547118845,TCAAY1198087,"Ambient Gong",none,none,"Zen Meditation",none,"","",unknown,"",
TCAAX1106496,A652468121287382,TCAAX1106496,"Ambient Healing Music",none,none,"Ambient Music Therapy",none,"","",unknown,"",
TCAAX1140847,A621295560512906,TCAAX1140847,"Ambient Meditation And Relaxation",none,none,"Cousteau: New Age Piano",none,"","",unknown,"",
TCAAW1165787,A518279711048758,TCAAW1165787,"Ambient Music",none,none,"Serenity Relaxation: Relaxing Music for Spa R",none,"","",unknown,"",
TCAAX1106489,A114252271774722,TCAAX1106489,"Ambient Music Therapy",none,none,"Ambient Music Therapy",none,"","",unknown,"",
TCAAX1175997,A454618652128587,TCAAX1175997,"Ambient Music With Sounds Of Soothing Ocean Waves",none,none,"Yoga",none,"","",unknown,"",
TCAAU1183528,A218765786238371,TCAAU1183528,"Ambient Nature Sound",none,none,"Nature Sounds",none,"","",unknown,"",
TCAAT1097615,A549443730443964,TCAAT1097615,"Ambient Nature Sounds",none,none,"Ahanu Nature Sounds",none,"","",unknown,"",
TCAAX1181060,A738600348361616,TCAAX1181060,"Ambient Nature Sounds No. 2",none,none,"Nature Sounds for Relaxation and Sleep",none,"","",unknown,"",
TCAAX1181061,A743516761181297,TCAAX1181061,"Ambient Nature Sounds No. 3",none,none,"Nature Sounds for Relaxation and Sleep",none,"","",unknown,"",
TCAAX1106505,A965352272632875,TCAAX1106505,"Ambient Oasis Sound",none,none,"Ambient Music Therapy",none,"","",unknown,"",
USTCG1072249,A838823224152800,USTCG1072249,"Ambient Ocean Waves",none,859704211768,"Ambient White Noise Ocean Waves",World,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCAAR1078709,A842070572857008,TCAAR1078709,"Ambient Sleep Aid",none,none,"Deep Sleep",none,"","",unknown,"",
TCAAX1106504,A269292294633830,TCAAX1106504,"Ambient Soundscapes",none,none,"Ambient Music Therapy",none,"","",unknown,"",
TCAAX1173579,A919909346840136,TCAAX1173579,"Ambient Soundscapes 2",none,none,"Soundscapes",none,"","",unknown,"",
TCAAU1173552,A163370066589613,TCAAU1173552,"Ambient Space",none,none,"Zen Meditation",none,"","",unknown,"",
TCAAU1173565,A116110678099711,TCAAU1173565,"Ambient White Noise",none,none,"Zen Meditation",none,"","",unknown,"",
TCAAR1013205,A509967003458042,TCAAR1013205,"Ambient White Sound And Piano Song For Meditation And Relaxa",none,none,"Sleep and Meditation Group",none,"","",unknown,"",
TCAAX1176002,A300931883293392,TCAAX1176002,"Ambient Yoga Music With Nature Sounds",none,none,"Yoga",none,"","",unknown,"",
TCAAX1151174,A209766851049643,TCAAX1151174,"Amen",none,none,"Gregorian Chant",none,"","",unknown,"",
TCAAR1029739,A560243759231150,TCAAR1029739,"Ancient Flute",none,none,"Native American Nature",none,"","",unknown,"",
USTCE1004555,A158214234571339,USTCE1004555,"Ananga-Ranga",none,none,"Meditation Spa",none,"","",unknown,"",
TCAAU1120515,A826080882901618,TCAAU1120515,"Ancient Future",none,none,"World Music For The New Age",none,"","",unknown,"",
USTCG1063885,A540845775754401,USTCG1063885,"Ancient Spirits",none,none,"Meditation Dreams",none,"","",unknown,"",
USTCG1087755,A712394287780581,USTCG1087755,"Ancient Voices",none,none,"Yoga Healing",none,"","",unknown,"",
TCABA1140575,A365173922333332,TCABA1140575,"Ancient Wind",none,none,"Koto",none,"","",unknown,"",
TCAAU1136813,A620926949505819,TCAAU1136813,"Andante",none,none,"Relaxing Classical Piano Music",none,"","",unknown,"",
TCAAU1120516,A634693155104631,TCAAU1120516,"Andean Flute",none,none,"World Music For The New Age",none,"","",unknown,"",
USTCB0953571,A326704517132843,USTCB0953571,"Angel",none,none,"Michael Silverman",none,"","",unknown,"",
,A742319161953574,undefined,"HDPVR 20140416 0859",none,none,"none",none,"anytv_affiliate-100","anytv_affiliate-exclude",unknown,"",no status
,Fp1HxLA2eCY,BRWMB9600978,"Primeiro Susto",none,none,"Zélia Duncan",none,"WMG-100","WMG-exclude",unknown,"",TRUE
,A253776014586204,undefined,"If students actually said what they think - Piques Vine",none,none,"none",none,"iktllnAq8x2z0SUukoyRcQ-100","iktllnAq8x2z0SUukoyRcQ-exclude",unknown,"",no status
,6tWuoMzwaxA,BRWMB9600975,"Experimenta",none,none,"Zélia Duncan",none,"WMG-100","WMG-exclude",unknown,"",TRUE
,A941474453697997,undefined,"Healthier Easter Basket Ideas",none,none,"none",none,"CAqOZdkmfHglaSegbgUmaQ-100","CAqOZdkmfHglaSegbgUmaQ-exclude",unknown,"",no status
,KkMvhhx5cr0,BRWMB9600980,"Vou Tirar Você do Dicionário / Citações: Barato Total / S.O.S.",none,none,"Zélia Duncan",none,"WMG-100","WMG-exclude",unknown,"",TRUE
,z5NDbS3H9zA,ES5029500040,"Cozumel",none,none,"Juan Perro",none,"SonyBMG-100","SonyBMG-include",unknown,"",TRUE
,zs64E-_UYh0,BRWMB9600983,"Assim Que Eu Gosto",none,none,"Zélia Duncan",none,"WMG-100","WMG-exclude",unknown,"",TRUE
,A567591776068670,undefined,"Sportovní kamera SJ4000 12 MPx a srovnání s GoPro Hero 3 - online prodej na www.chromeshop.cz",none,none,"none",none,"g-M1gvOUmdzzYePOLrmnqw-100","g-M1gvOUmdzzYePOLrmnqw-exclude",unknown,"",no status
,mQ1Uxf0U7zQ,BRWMB9600977,"Me Gusta",none,none,"Zélia Duncan",none,"WMG-100","WMG-exclude",unknown,"",TRUE
,SfA1wWmlpnA,BRWMB9600976,"A Diferença",none,none,"Zélia Duncan",none,"WMG-100","WMG-exclude",unknown,"",TRUE
,ku3Cjrbkuoo,BRWMB9600982,"Intimidade",none,none,"Zélia Duncan",none,"WMG-100","WMG-exclude",unknown,"",TRUE
,d2QUqecRQGc,BRWMB9600981,"Não Tem Volta",none,none,"Zélia Duncan",none,"WMG-100","WMG-exclude",unknown,"",TRUE
,A201080853867272,undefined,"Лунтик 2014 Постройка стены",none,none,"none",none,"IrikomUkraine-100","IrikomUkraine-exclude",unknown,"",no status
