Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Album,Genre,Ownership,Ratio,Match Policy,Refrence File
US2S70425006,A467698101844355,US2S70425006,"Discipline 99 Pt. 0",none,659457202521,"Quasimoto, Mr. Herb",The Unseen,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425007,A945823498516484,US2S70425007,"Low Class Conspiracy",none,881034747136,"Quasimoto",Stones Throw : 10 Years,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425008,A705929386183597,US2S70425008,"Return of the Loop Digga",none,659457202521,"Quasimoto",The Unseen,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425009,A121290318721261,US2S70425009,"Real Eyes",none,659457202521,"Quasimoto",The Unseen,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425010,A725831288945923,US2S70425010,"Quasimoto - Come on Feet",none,none,"Quasimoto",none,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",,"",no status
US2S70425010,A128744348255243,US2S70425010,"Come On Feet",none,659457202521,"Quasimoto",The Unseen,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425011,A704735990435351,US2S70425011,"Bluffin",none,659457202521,"Quasimoto",The Unseen,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425012,A974791687211437,US2S70425012,"Boom Music",none,659457202521,"Quasimoto",The Unseen,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425013,A458577282592243,US2S70425013,"MHB's",none,659457202521,"Quasimoto",The Unseen,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425014,A847648564010871,US2S70425014,"Put A Curse On You",none,659457202521,"Quasimoto",The Unseen,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425015,A526498977051218,US2S70425015,"Astro Black",none,659457202521,"Quasimoto",The Unseen,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425016,A767433620063141,US2S70425016,"Green Power",none,659457202521,"Quasimoto",The Unseen,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425017,A553568108105173,US2S70425017,"Jazz Cats Pt. 1",none,659457202521,"Quasimoto",The Unseen,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425018,A828449176682032,US2S70425018,"24-7",none,659457202521,"Quasimoto, Medaphor",The Unseen,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
