Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Genre,Ownership,Ratio,Match Policy,,Refrence File
TCAAS1069734,A839984801249293,TCAAS1069734,"Bach: Air",none,none,"Christmas Music and Holiday Hits",none,"","",unknown,"",
TCAAS1069230,A230517377720772,TCAAS1069230,"Bach: Cello Suite No. 1",none,none,"Holiday Spirits",none,"","",unknown,"",
USTCD1059470,A746075485083816,USTCD1059470,"Bach Rock",none,none,"Prog",none,"","",unknown,"",
TCAAR1077738,A327625919373522,TCAAR1077738,"Bach: Invention 13 (Re-Invention)",none,none,"Michael Silverman and the Classical Jazz Quar",none,"","",unknown,"",
TCAAR1094718,A458141321957326,TCAAR1094718,"Bach: Invention No. 4",none,none,"Ultimate Piano Relaxation Massage",none,"","",unknown,"",
TCAAR1077764,A965694851810552,TCAAR1077764,"Bach: Jesu, Joy Of Man'S Desiring",none,none,"Michael Silverman and the Classical Jazz Quar",none,"","",unknown,"",
TCAAR1091765,A905020576282995,TCAAR1091765,"Bach: Love Song",none,none,"Piano Love Songs",none,"","",unknown,"",
TCAAU1115278,A473997364171198,TCAAU1115278,"Bach'S Invention",none,none,"Michael Silverman",none,"","",unknown,"",
USTC50860920,A420904256620269,USTC50860920,"Bach'S Jazz Fusion Odyssey #1",none,none,"The Fusion Warriors",none,"","",unknown,"",
USTC50869680,A602913782370814,USTC50869680,"Bach'S Jazz Fusion Odyssey #2",none,none,"The Fusion Warriors",none,"","",unknown,"",
TCAAS1050937,A458225249848063,TCAAS1050937,"Barcarolle",none,none,"Reiki",none,"","",unknown,"",
USTC40877764,A172909027007368,USTC40877764,"Barcarolle Jacques Offenbach",none,none,"Addicted To Classical Music!",none,"","",unknown,"",
TCAAT1001754,A501312325460066,TCAAT1001754,"Beethoven : Symphony No. 5",none,none,"Beethoven Consort",none,"","",unknown,"",
USTCD1056706,A718924384094266,USTCD1056706,"Beethoven",none,none,"Classical Rock Orchestra",none,"","",unknown,"",
TCAAT1001733,A121260554224240,TCAAT1001733,"Beethoven And The Thunderstorm",none,none,"Beethoven Consort",none,"","",unknown,"",
TCAAT1001747,A268741722809001,TCAAT1001747,"Beethoven By Moonlight (The Dream)",none,none,"Beethoven Consort",none,"","",unknown,"",
USTCD1062330,A731975433420768,USTCD1062330,"Battle Hymn Of The Republic",none,none,"Michael Silverman",none,"","",unknown,"",
USTCD1077364,A849658875894763,USTCD1077364,"Beethoven Fur Elise",none,none,"Nursery Rhymes and Lullabies",none,"","",unknown,"",
TCAAZ1120840,A620860784944912,TCAAZ1120840,"Beethoven Sonata",none,none,"Ludwig Cousteau",none,"","",unknown,"",
TCAAT1001734,A904333404690378,TCAAT1001734,"Beethoven Symphony No. 6",none,none,"Beethoven Consort",none,"","",unknown,"",
TCAAX1140854,A157215453627031,TCAAX1140854,"Beethoven, Fur Elise , Woo 59",none,none,"Cousteau: New Age Piano",none,"","",unknown,"",
TCAAR1077744,A414366475387420,TCAAR1077744,"Beethoven: Moonlight Sonata",none,none,"Michael Silverman and the Classical Jazz Quar",none,"","",unknown,"",
TCAAR1077742,A608760621511623,TCAAR1077742,"Beethoven: Overture, Symphony No. 5",none,none,"Michael Silverman and the Classical Jazz Quar",none,"","",unknown,"",
USTCD1056723,A801244666589332,USTCD1056723,"Beethoven'S 5Th Symphony",none,none,"Classical Rock Orchestra",none,"","",unknown,"",
TCAAT1001735,A252413450947852,TCAAT1001735,"Beethoven'S Descent Into Madness",none,none,"Beethoven Consort",none,"","",unknown,"",
TCAAT1001738,A509389748251807,TCAAT1001738,"Beethoven'S Despair (Elise Is Married)",none,none,"Beethoven Consort",none,"","",unknown,"",
USTCC1084784,A534615893824501,USTCC1084784,"Beethoven'S Dream",none,none,"Michael Silverman",none,"","",unknown,"",
TCAAT1001740,A931806662470282,TCAAT1001740,"Beethoven'S Victory",none,none,"Beethoven Consort",none,"","",unknown,"",
USTCD1077358,A715609778024200,USTCD1077358,"Bingo",none,none,"Nursery Rhymes and Lullabies",none,"","",unknown,"",
TCAAW1159104,A953473009629126,TCAAW1159104,"Blessed Assuranc",none,none,"Catholic Hymns",none,"","",unknown,"",
USTCD1062332,A418919074563140,USTCD1062332,"Blessed Assurance",none,none,"Michael Silverman",none,"","",unknown,"",
USTC50862385,A422485326170025,USTC50862385,"Brahms Lullaby",none,none,"Brahms, Johannes",none,"","",unknown,"",
USTC60811547,A867116683439083,USTC60811547,"Canon",none,none,"All Time Favorite Children's Songs",none,"","",unknown,"",
USTCD1077359,A104851840027332,USTCD1077359,"Camptown Races",none,none,"Nursery Rhymes and Lullabies",none,"","",unknown,"",
TCAAR1001392,A752119942677753,TCAAR1001392,"Canon And Gigue",none,none,"Worship Music Group",none,"","",unknown,"",
USTCG1087739,A113731384776824,USTCG1087739,"Canon And Ocean Waves",none,none,"Yoga Healing",none,"","",unknown,"",
USTCE1004583,A507120117493173,USTCE1004583,"Canon Guitar Heaven",none,none,"Meditation Spa",none,"","",unknown,"",
TCAAT1044970,A747572787147602,TCAAT1044970,"Canon In D - Christmas Canon",none,none,"The Christmas Collection",none,"","",unknown,"",
TCAAT1012166,A446578156206976,TCAAT1012166,"Canon In D - Christmas Jazz",none,none,"Christmas Party",none,"","",unknown,"",
TCAAS1050526,A949926596392405,TCAAS1050526,"Canon For Christ",none,none,"Jesus Christ",none,"","",unknown,"",
TCAAT1044903,A566531978390929,TCAAT1044903,"Canon In D - Jazz Christmas",none,none,"Michael Silverman Jazz Piano Trio",none,"","",unknown,"",
TCAAY1122988,A623531567930700,TCAAY1122988,"Canon In D - Kanon",none,none,"Relaxing Solo Piano Music",none,"","",unknown,"",
TCAAX1170410,A240494325784098,TCAAX1170410,"Canon In D - Rock",none,none,"Smart Kids Rock",none,"","",unknown,"",
TCAAR1096078,A145025664120688,TCAAR1096078,"Canon In D (Christmas Canon)",none,none,"Christmas Piano Favorites",none,"","",unknown,"",
TCAAS1070103,A119863743154860,TCAAS1070103,"Canon In D (Christmas Kanon)",none,none,"Michael Silverman Jazz Piano Trio",none,"","",unknown,"",
USTC40869489,A868328970537586,USTC40869489,"Canon In D (Johann Pachelbel)",none,none,"Bach to the Future",none,"","",unknown,"",
TCAAX1169649,A819493207179610,TCAAX1169649,"Canon In D (Piano Version)",none,none,"Kids Rock!",none,"","",unknown,"",
USTCD1059420,A901302571691396,USTCD1059420,"Canon In D (Piano)",none,none,"Christmas Rocks!",none,"","",unknown,"",
TCAAR1001171,A820336052563696,TCAAR1001171,"Canon In D And Nature",none,none,"Reiki",none,"","",unknown,"",
TCAAX1127921,A661998714296215,TCAAX1127921,"Canon In D For Babies",none,none,"Sleep Baby Sleep",none,"","",unknown,"",
USTCG1057870,A147713348521500,USTCG1057870,"Canon In D For Massage",none,none,"Meditation Dreams",none,"","",unknown,"",
USTC40877159,A712877499749027,USTC40877159,"Canon In D Major (Pachelbel) Kanon",none,none,"Addicted To Classical Music!",none,"","",unknown,"",
TCAAW1174031,A744462454126311,TCAAW1174031,"Canon In D With Nature Sounds",none,none,"Deep Sleep Lullabies",none,"","",unknown,"",
USTCE1096760,A975053224971269,USTCE1096760,"Canon In D With Ocean",none,none,"Nature Sounds Meditation",none,"","",unknown,"",
TCAAX1144847,A901362775093865,TCAAX1144847,"Canon In D With Ocean Sounds",none,none,"Newborn Baby Lullabies",none,"","",unknown,"",
TCAAX1192279,A826931854834287,TCAAX1192279,"Canon In D With Ocean Waves",none,none,"Autumn Hill Production Music Library",none,"","",unknown,"",
USTCF1007041,A517098467764915,USTCF1007041,"Canon Of The Ocean For Spa And Relaxation",none,none,"Sleep Baby Sleep",none,"","",unknown,"",
TCAAR1029771,A429662848960926,TCAAR1029771,"Canon Of The Ocean- Sleep Music",none,none,"Deep Sleep Relaxation",none,"","",unknown,"",
TCAAX1181045,A952686919944414,TCAAX1181045,"Canon With Ocean Sounds",none,none,"Nature Sounds for Relaxation and Sleep",none,"","",unknown,"",
USTCD1059465,A472335275592688,USTCD1059465,"Canon Rock",none,none,"Prog",none,"","",unknown,"",
USTC60845293,A122946991781536,USTC60845293,"Carol of the Bells",none,859700940648,"Relaxing Piano Music",Moods,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCAAS1082736,A666318028111111,TCAAS1082736,"Carol of the Bells - Christmas Jazz",none,none,"Christmas Songs",none,"","",unknown,"",
TCAAU1185681,A722165299263978,TCAAU1185681,"Chinese Traditional Music",none,none,"World Music For The New Age",none,"","",unknown,"",
USTCG1087761,A847659802767334,USTCG1087761,"Chinese Traditional Song",none,none,"Yoga Healing",none,"","",unknown,"",
TCAAU1191157,A145079593298160,TCAAU1191157,"Chopstix",none,none,"Chinese Restaurant Music",none,"","",unknown,"",
USTCG1097747,A951996640916821,USTCG1097747,"Christ The Lord Is Risen",none,none,"Funeral Songs",none,"","",unknown,"",
USTCB0957994,A522735928182181,USTCB0957994,"Christ The Lord Is Risen Today",none,none,"Michael Silverman",none,"","",unknown,"",
TCAAW1164632,A432444706408981,TCAAW1164632,"Christian Hymns",none,none,"Christian Hymns",none,"","",unknown,"",
USTCB0951252,A948187687335280,USTCB0951252,"Christmas",none,none,"Michael Silverman",none,"","",unknown,"",
TCAAS1094479,A553704334075344,TCAAS1094479,"Christmas Angels",none,none,"Christmas Angels",none,"","",unknown,"",
TCAAS1082749,A259931629088471,TCAAS1082749,"Christmas Canon In D (Kanon)",none,none,"Christmas Songs",none,"","",unknown,"",
TCAAS1082818,A230881837160883,TCAAS1082818,"Christmas Music",none,none,"Christmas Songs",none,"","",unknown,"",
TCAAS1082817,A119615824551955,TCAAS1082817,"Christmas Songs",none,none,"Christmas Songs",none,"","",unknown,"",
USTCD1095086,A365952527047087,USTCD1095086,"none",none,none,"none",none,"","",unknown,"",
