Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Album,Genre,Ownership,Ratio,Match Policy,,Refrence File
US2S70419001,A822239422302471,US2S70419001,"Da Antidote",Soundpieces: Da Antidote,none,659457201920,"Lootpack",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419002,WQqDlgRBk-E,US2S70419002,"Questions",Soundpieces: Da Antidote,none,659457201920,"Lootpack",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419003,A364609271401477,US2S70419003,"Long Awaited",Soundpieces: Da Antidote,none,659457201920,"Lootpack, Dilated Peoples",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419004,A712308223059635,US2S70419004,"B-Boy Theme",Soundpieces: Da Antidote,none,659457201920,"Lootpack",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419005,A440321658365227,US2S70419005,"Whenimondamic",Stones Throw : 10 Years,none,881034747136,"Lootpack",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419006,A218780319013077,US2S70419006,"The Anthem",Soundpieces: Da Antidote,none,659457201920,"Lootpack",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419007,A852226558756002,US2S70419007,"Level Zero",Soundpieces: Da Antidote,none,659457201920,"Lootpack, Oh No, Medaphor",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419008,A952221705508739,US2S70419008,"Crate Diggin'",none,none,none,"Lootpack",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",,"",no status
US2S70419008,A361643625064665,US2S70419008,"Crate Diggin'",Soundpieces: Da Antidote,none,659457201920,"Lootpack",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419009,A313836867777949,US2S70419009,"Law Of Physics",Soundpieces: Da Antidote,none,659457201920,"Lootpack",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419010,A536053505532661,US2S70419010,"Frenz Vs. Endz",Soundpieces: Da Antidote,none,659457201920,"Lootpack, Kazi",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419011,A629501035655299,US2S70419011,"Interview With Kurt",Soundpieces: Da Antidote,none,659457201920,"Lootpack",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419012,A148871379575437,US2S70419012,"Speaker Smashin'",Soundpieces: Da Antidote,none,659457201920,"Lootpack",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419014,A340802536393793,US2S70419014,"Answers",Soundpieces: Da Antidote,none,659457201920,"Lootpack, Quasimoto",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419013,A100001729777392,US2S70419013,"New Year's Resolution",Soundpieces: Da Antidote,none,659457201920,"Lootpack",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419015,A701554755931229,US2S70419015,"Likwit Fusion",Soundpieces: Da Antidote,none,659457201920,"Lootpack, Alkaholiks, Defari",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419016,A421320841679656,US2S70419016,"Hityawitdat",none,none,none,"Lootpack",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",,"",no status
US2S70419016,A452502800286377,US2S70419016,"Hityawitdat",Soundpieces: Da Antidote,none,659457201920,"Lootpack",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419017,A307584866157073,US2S70419017,"Verbal Experiments",Soundpieces: Da Antidote,none,659457201920,"Lootpack, God's Gift",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419018,A553727047915051,US2S70419018,"Stylewild",Soundpieces: Da Antidote,none,659457201920,"Lootpack",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419019,A328840423574289,US2S70419019,"Weededed",Soundpieces: Da Antidote,none,659457201920,"Lootpack",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419020,A363727142192274,US2S70419020,"20 Questions",Soundpieces: Da Antidote,none,659457201920,"Lootpack, Quasimoto",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419021,A305310305528298,US2S70419021,"Break Dat Party",Soundpieces: Da Antidote,none,659457201920,"Lootpack, Declaime",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419022,A430077821040686,US2S70419022,"Wanna Test",Soundpieces: Da Antidote,none,659457201920,"Lootpack, Medaphor",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419023,A460319458703499,US2S70419023,"Episodes",Soundpieces: Da Antidote,none,659457201920,"Lootpack, Kazi, God's Gift, Declaime, Oh No, Medaphor",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419024,A440038742973593,US2S70419024,"Outro",Soundpieces: Da Antidote,none,659457201920,"Lootpack",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425001,A448131457765749,US2S70425001,"Welcome To Violence",The Unseen,none,659457202521,"Quasimoto",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425002,A642701130311688,US2S70425002,"Bad Character",The Unseen,none,659457202521,"Quasimoto",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425003,A706102763160290,US2S70425003,"Microphone Mathematics",The Unseen,none,659457202521,"Quasimoto",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425004,A270049928675864,US2S70425004,"Basic Instinct",The Unseen,none,659457202521,"Quasimoto",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425005,A761861846789624,US2S70425005,"Goodmorning Sunshine",The Unseen,none,659457202521,"Quasimoto",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425006,A467698101844355,US2S70425006,"Discipline 99 Pt. 0",The Unseen,none,659457202521,"Quasimoto, Mr. Herb",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425007,A945823498516484,US2S70425007,"Low Class Conspiracy",Stones Throw : 10 Years,none,881034747136,"Quasimoto",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425008,A705929386183597,US2S70425008,"Return of the Loop Digga",The Unseen,none,659457202521,"Quasimoto",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425009,A121290318721261,US2S70425009,"Real Eyes",The Unseen,none,659457202521,"Quasimoto",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425010,A725831288945923,US2S70425010,"Quasimoto - Come on Feet",none,none,none,"Quasimoto",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",,"",no status
US2S70425010,A128744348255243,US2S70425010,"Come On Feet",The Unseen,none,659457202521,"Quasimoto",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425011,A704735990435351,US2S70425011,"Bluffin",The Unseen,none,659457202521,"Quasimoto",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425012,A974791687211437,US2S70425012,"Boom Music",The Unseen,none,659457202521,"Quasimoto",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425013,A458577282592243,US2S70425013,"MHB's",The Unseen,none,659457202521,"Quasimoto",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425014,A847648564010871,US2S70425014,"Put A Curse On You",The Unseen,none,659457202521,"Quasimoto",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425015,A526498977051218,US2S70425015,"Astro Black",The Unseen,none,659457202521,"Quasimoto",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425016,A767433620063141,US2S70425016,"Green Power",The Unseen,none,659457202521,"Quasimoto",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425017,A553568108105173,US2S70425017,"Jazz Cats Pt. 1",The Unseen,none,659457202521,"Quasimoto",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425019,A540189996922358,US2S70425019,"The Unseen",The Unseen,none,659457202521,"Quasimoto",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425018,A828449176682032,US2S70425018,"24-7",The Unseen,none,659457202521,"Quasimoto, Medaphor",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425020,A226604924854329,US2S70425020,"Phony Game",The Unseen,none,659457202521,"Quasimoto",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425021,A924448535153457,US2S70425021,"Astro Travellin",The Unseen,none,659457202521,"Quasimoto",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425022,A826801548797757,US2S70425022,"Blitz",The Unseen,none,659457202521,"Quasimoto",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425023,A918197300452694,US2S70425023,"Axe Puzzles",The Unseen,none,659457202521,"Quasimoto",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438001,fJPoWTtHXE8,US2S70438001,"Intro",The Funky 16 Corners,none,659457203825,"Various Artists",R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425024,A925297351547681,US2S70425024,"Discipline 99 Pt. 1",The Unseen,none,659457202521,"Quasimoto, Wildchild",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438002,A207399780056394,US2S70438002,"Dap Walk",The Funky 16 Corners,none,659457203825,"Ernie and The Top Notes Inc.",R&B,"Indmusic-100&Indmusic,rumblefish_cdbaby-100,100","Indmusic-exclude&Indmusic,rumblefish_cdbaby-exclude,exclude",monetize,"VU&VN&EC&VI&DZ&VG&VE&DM&VC&DO&VA&DE&UZ&UY&DK&DJ&US&UM&UG&UA&ET&ES&ER&EH&EG&TZ&EE&TT&TW&TV&GD&GE&GF&GA&GB&FR&FO&FK&FJ&FM&FI&WS&GY&GW&GU&GT&GS&GR&GQ&WF&GP&GN&GM&GL&GI&GH&GG&RE&RO&AT&AS&AR&AQ&AX&QA&AW&AU&AZ&BA&PT&AD&PW&AG&PR&AE&PS&AF&AL&AI&AO&PY&AM&TG&BW&TF&BV&BY&TD&TK&BS&TJ&BR&TH&BT&TO&TN&TM&TL&CA&TR&BZ&BF&SV&BG&SS&BH&ST&BI&SY&BB&SZ&BD&SX&BE&BN&BO&BQ&BJ&TC&BL&BM&SD&CZ&SC&CY&CX&SE&CW&SH&CV&SG&CU&SJ&SI&SL&SK&SN&SM&SO&SR&CI&RS&CG&RU&CH&RW&CF&CC&CD&CR&CO&CM&CN&SA&CK&SB&CL&LV&LU&LT&LY&LS&LR&MG&MH&ME&MF&MK&ML&MC&MD&MA&MV&MU&MX&MW&MZ&MY&MN&MM&MP&MO&MR&MQ&MT&MS&NF&NG&NI&NL&NA&NC&NE&NZ&NU&NR&NP&NO&OM&PL&PM&PN&PH&PK&PE&PF&PG&PA&HK&ZA&HN&HM&HR&HT&HU&ZM&ZW&ID&IE&IL&IM&IN&IO&IQ&IR&YE&IS&IT&JE&YT&JP&JO&JM&KI&KH&KG&KE&KP&KR&KM&KN&KW&KY&KZ&LA&LC&LB&LI&LK",TRUE
US2S70438003,A618618345625034,US2S70438003,"Let's Go (It's Summertime)",The Funky 16 Corners,none,659457203825,"James Reese and The Progressions",R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438004,A749237981188898,US2S70438004,"Trespasser",The Funky 16 Corners,none,659457203825,"Bad Medicine",R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438005,A349117953723192,US2S70438005,"The Funky 16 Corners",The Funky 16 Corners,none,659457203825,"The Highlighters Band",R&B,"Indmusic-100&Indmusic,ingrooves-100,100","Indmusic-exclude&Indmusic,ingrooves-exclude,include",monetize,"AD&AE&AF&AG&AI&AL&AM&AN&AO&AQ&AR&AS&AT&AU&AW&AX&AZ&BA&BB&BD&BE&BF&BG&BH&BI&BJ&BM&BN&BO&BR&BS&BT&BV&BW&BY&BZ&CC&CD&CF&CG&CH&CI&CK&CL&CM&CN&CO&CR&CU&CV&CX&CY&CZ&DE&DJ&DK&DM&DO&DZ&EC&EE&EG&EH&ER&ES&ET&FI&FJ&FK&FM&FO&FR&GA&GB&GD&GE&GF&GG&GH&GI&GL&GM&GN&GP&GQ&GR&GS&GT&GU&GW&GY&HK&HM&HN&HR&HT&HU&ID&IE&IL&IM&IN&IO&IQ&IR&IS&IT&JE&JM&JO&JP&KE&KG&KH&KI&KM&KN&KP&KR&KW&KY&KZ&LA&LB&LC&LI&LK&LR&LS&LT&LU&LV&LY&MA&MC&MD&ME&MG&MH&MK&ML&MM&MN&MO&MP&MQ&MR&MS&MT&MU&MV&MW&MX&MY&MZ&NA&NC&NE&NF&NG&NI&NL&NO&NP&NR&NU&NZ&OM&PA&PE&PF&PG&PH&PK&PL&PM&PN&PR&PS&PT&PW&PY&QA&RE&RO&RS&RU&RW&SA&SB&SC&SD&SE&SG&SH&SI&SJ&SK&SL&SM&SN&SO&SR&ST&SV&SY&SZ&TC&TD&TF&TG&TH&TJ&TK&TL&TM&TN&TO&TR&TT&TV&TW&TZ&UA&UG&UM&US&UY&UZ&VA&VC&VE&VG&VI&VN&VU&WF&WS&YE&YT&ZA&ZM&ZW",TRUE
US2S70438006,A767970636325836,US2S70438006,"The Kick",The Funky 16 Corners,none,659457203825,"The Rhythm Machine",R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438007,A521663634657892,US2S70438007,"What About You (In The World Today)",Stones Throw : 10 Years,none,881034747136,"Co Real Artists",R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438008,A116801662232966,US2S70438008,"Interlude",The Funky 16 Corners,none,659457203825,"Various Artists",R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438009,A744708871299607,US2S70438009,"The Dump",The Funky 16 Corners,none,659457203825,"Soul Vibrations",R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438010,A864674972836168,US2S70438010,"Jody's Freeze",The Funky 16 Corners,none,659457203825,"James Reese and The Progressions",R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438011,A271992818444372,US2S70438011,"Kashmere",The Funky 16 Corners,none,659457203825,"Kashmere Stage Band",R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438012,A735687638613657,US2S70438012,"Fish Head",The Funky 16 Corners,none,659457203825,"Slim and The Soulful Saints",R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438013,A714853187914120,US2S70438013,"Tighten Up Tighter",The Funky 16 Corners,none,659457203825,"Billy Ball and The Upsetters, feat. Roosevelt Matthews",R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438014,A800846777705036,US2S70438014,"Southside Funk",The Funky 16 Corners,none,659457203825,"Soul Seven",R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438015,A410155434218691,US2S70438015,"Can We Rap",The Funky 16 Corners,none,659457203825,"Carleen and The Groovers",R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438016,A548799609204165,US2S70438016,"Beautiful Day",The Funky 16 Corners,none,659457203825,"Spider Harrison",R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438017,A210591525093072,US2S70438017,"Go To Work (Alternate Version)",The Funky 16 Corners,none,659457203825,"Revolution Compared To What",R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438019,A962078027284768,US2S70438019,"In The Rain",The Funky 16 Corners,none,659457203825,"The Wooden Glass, feat. Billy Wooten",R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438018,A747523531297924,US2S70438018,"The Phantom",The Funky 16 Corners,none,659457203825,"Bubbha Thomas and The Lightmen Plus One",R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438020,A806489065898333,US2S70438020,"Outro",The Funky 16 Corners,none,659457203825,"Various Artists",R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438021,A444565364880125,US2S70438021,"Bunky's Pick (Bonus Track)",The Funky 16 Corners,none,659457203825,"Cut Chemist",R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438022,A810994811393911,US2S70438022,"The Funky Buzzard (Bonus Track)",The Funky 16 Corners,none,659457203825,"James Bell & The Turner Brothers",R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442001,u0EddvzlEF4,US2S70442001,"Prelude",Angles Without Edges,none,659457204228,"Yesterday's New Quintet",Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442002,fWkh7yzLNls,US2S70442002,"Julani",Angles Without Edges,none,659457204228,"Yesterday's New Quintet",Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442003,KFEkO1JiZzM,US2S70442003,"Papa",Angles Without Edges,none,659457204228,"Yesterday's New Quintet",Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442004,rqBkDkP7u9I,US2S70442004,"Keeper of My Soul",Angles Without Edges,none,659457204228,"Yesterday's New Quintet",Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442005,rV2yXFe_Xvc,US2S70442005,"The One Who Knows",Angles Without Edges,none,659457204228,"Yesterday's New Quintet",Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442006,HbKnX3UeB5Q,US2S70442006,"The Birth of YNQ",Angles Without Edges,none,659457204228,"Yesterday's New Quintet",Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442007,sXASRDdRdq0,US2S70442007,"Paladium",Angles Without Edges,none,659457204228,"Yesterday's New Quintet",Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442008,D0GNV4jokLk,US2S70442008,"Life's Angles",Angles Without Edges,none,659457204228,"Yesterday's New Quintet",Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442009,EhruM61dGk8,US2S70442009,"Thinking Of You",Angles Without Edges,none,659457204228,"Yesterday's New Quintet",Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442010,SjCQqpPonpY,US2S70442010,"Uno Esta",Angles Without Edges,none,659457204228,"Yesterday's New Quintet",Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442011,zbWaypRQhDQ,US2S70442011,"Rugged Tranquility",Angles Without Edges,none,659457204228,"Yesterday's New Quintet",Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442012,QvRKLNtHBq0,US2S70442012,"Daylight",Angles Without Edges,none,659457204228,"Yesterday's New Quintet",Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442013,0VOJtMf06po,US2S70442013,"Hot Water",Angles Without Edges,none,659457204228,"Yesterday's New Quintet",Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442014,JIniwFK1YQU,US2S70442014,"Mestizo Eyes",Angles Without Edges,none,659457204228,"Yesterday's New Quintet",Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442015,VmFwmJo62Ko,US2S70442015,"Sun Goddess",Angles Without Edges,none,659457204228,"Yesterday's New Quintet",Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442016,uqCm_YT2INE,US2S70442016,"Kuhn's Theme",Angles Without Edges,none,659457204228,"Yesterday's New Quintet",Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442017,HD0hdIH8etc,US2S70442017,"Little Girl (Dakota's Song)",Angles Without Edges,none,659457204228,"Yesterday's New Quintet",Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442018,jypmd1g9A6U,US2S70442018,"Broken Dreams",Angles Without Edges,none,659457204228,"Yesterday's New Quintet",Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442019,IfeA4nN9C6I,US2S70442019,"Last Day",Angles Without Edges,none,659457204228,"Yesterday's New Quintet",Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70444001,A331761969329486,US2S70444001,"Chops & Thangs",Peanut Butter Wolf's Jukebox 45's,none,659457204426,"Beat Conductor",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70444002,A315882707681277,US2S70444002,"Microphone Mathematics Remix",Peanut Butter Wolf's Jukebox 45's,none,659457204426,"Quasimoto",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
