Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Album,Genre,Ownership,Ratio,Match Policy,,Refrence File
US2S71023010,A853857021665213,US2S71023010,"Just Because",The Minimal Wave Tapes: Volume One,none,659457222321,"Martin Dupont",Dance & Electronic,"Indmusic-100","Indmusic-exclude",,"",no status
US2S71023011,A325722069895621,US2S71023011,"Game & Performance",The Minimal Wave Tapes: Volume One,none,659457222321,"Deux",Dance & Electronic,"Indmusic-100","Indmusic-exclude",,"",no status
US2S71023012,A871566046869289,US2S71023012,"Things I Was Due To Forget",The Minimal Wave Tapes: Volume One,none,659457222321,"Somnambulist",Dance & Electronic,"Indmusic-100","Indmusic-exclude",,"",no status
US2S71023013,A859854963854648,US2S71023013,"My Time",The Minimal Wave Tapes: Volume One,none,659457222321,"Ohama",Dance & Electronic,"Indmusic-100","Indmusic-exclude",,"",no status
US2S71023014,A210774462892244,US2S71023014,"The Cabinet",The Minimal Wave Tapes: Volume One,none,659457222321,"Das Kabinette",Dance & Electronic,"Indmusic-100","Indmusic-exclude",,"",no status
US2S70758001,Ek5l85Uc00k,US2S70758001,"Bitches Brew",Yesterdays Universe: Prepare For A New Yesterday (Volume 1),none,659457215811,"Otis Jackson Jr. Trio",Dance & Electronic,"Indmusic-100","Indmusic-exclude",monetize,"",
US2S70758002,m8EYdO-82A0,US2S70758002,"Umoja (Unity)",Yesterdays Universe: Prepare For A New Yesterday (Volume 1),none,659457215811,"The Jahari Massamba Unit feat. Karriem Riggins Trio",Dance & Electronic,"Indmusic-100","Indmusic-exclude",monetize,"",
US2S70758003,zHQK4KwluKg,US2S70758003,"Slave Riot",Yesterdays Universe: Prepare For A New Yesterday (Volume 1),none,659457215811,"Young Jazz Rebels",Dance & Electronic,"Indmusic-100","Indmusic-exclude",monetize,"",
US2S70758004,SUh2mQntNfc,US2S70758004,"One For The Monica Lingas Band",Yesterdays Universe: Prepare For A New Yesterday (Volume 1),none,659457215811,"The Last Electro-Acoustic Space Jazz & Percussion Ensemble",Dance & Electronic,"Indmusic-100","Indmusic-exclude",monetize,"",
US2S70758006,cYUp7sf5HHY,US2S70758006,"Marcus, Martin & Malcolm",Yesterdays Universe: Prepare For A New Yesterday (Volume 1),none,659457215811,"The Jazzistics",Dance & Electronic,"Indmusic-100","Indmusic-exclude",,"",
US2S70758005,79PubEGF8UU,US2S70758005,"Street Talkin'",Yesterdays Universe: Prepare For A New Yesterday (Volume 1),none,659457215811,"Kamala Walker & The Soul Tribe",Dance & Electronic,"Indmusic-100","Indmusic-exclude",monetize,"",
US2S70758007,gYcP7uNWpxQ,US2S70758007,"Two For Strata East",Yesterdays Universe: Prepare For A New Yesterday (Volume 1),none,659457215811,"Suntouch",Dance & Electronic,"Indmusic-100","Indmusic-exclude",monetize,"",
US2S70758008,Q6odYLmXgDk,US2S70758008,"She's Gonna Stay",Yesterdays Universe: Prepare For A New Yesterday (Volume 1),none,659457215811,"Suntouch",Dance & Electronic,"Indmusic-100","Indmusic-exclude",,"",
US2S70758009,XF6KsxS9-M4,US2S70758009,"Cold Nights And Rainy Days",Yesterdays Universe: Prepare For A New Yesterday (Volume 1),none,659457215811,"The Last Electro-Acoustic Space Jazz & Percussion Ensemble",Dance & Electronic,"Indmusic-100","Indmusic-exclude",monetize,"",
US2S70758010,xVGTTX4NS18,US2S70758010,"Free Son",Yesterdays Universe: Prepare For A New Yesterday (Volume 1),none,659457215811,"Otis Jackson Jr. Trio",Dance & Electronic,"Indmusic-100","Indmusic-exclude",,"",
US2S70758011,KgScMYXgBrs,US2S70758011,"Barumba",Yesterdays Universe: Prepare For A New Yesterday (Volume 1),none,659457215811,"Jackson Conti",Dance & Electronic,"Indmusic-100","Indmusic-exclude",monetize,"",
US2S70758012,c2eglmVayJ8,US2S70758012,"Sunny C",Yesterdays Universe: Prepare For A New Yesterday (Volume 1),none,659457215811,"Ahmad Miller",Dance & Electronic,"Indmusic-100","Indmusic-exclude",monetize,"",
US2S70758013,WSoqH0nnOdQ,US2S70758013,"Mtume's Song",Yesterdays Universe: Prepare For A New Yesterday (Volume 1),none,659457215811,"The Eddie Prince Fusion Band",Dance & Electronic,"Indmusic-100","Indmusic-exclude",,"",
US2S70758014,ZYBWq85xRC0,US2S70758014,"Vibes From The Tribes Suite (For Phil)",Yesterdays Universe: Prepare For A New Yesterday (Volume 1),none,659457215811,"Yesterdays Universe All Stars",Dance & Electronic,"Indmusic-100","Indmusic-exclude",monetize,"",
US2S70758015,Vxy92lRYjTk,US2S70758015,"Upa Neguinho",Yesterdays Universe: Prepare For A New Yesterday (Volume 1),none,659457215811,"Jackson Conti",Dance & Electronic,"Indmusic-100","Indmusic-exclude",,"",
US2S70892001,J26ksH-nDXQ,US2S70892001,"Strange Life",Innovative Life,none,659457219222,"Arabian Prince",Hip Hop & Rap,"","",monetize,"",TRUE
US2S70892002,A150701725343233,US2S70892002,"It Ain't Tough",Innovative Life,none,659457219222,"Arabian Prince",Hip Hop & Rap,"KontorNewMedia-100","KontorNewMedia-include",monetize,"",TRUE
US2S71024001,A147343951319197,US2S71024001,"Ancestors",Slave Riot,none,659457222420,"Young Jazz Rebels",Dance & Electronic,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S71024002,A828885900198889,US2S71024002,"The Legend Of Mankind",Slave Riot,none,659457222420,"Young Jazz Rebels",Dance & Electronic,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70892003,A346983134925097,US2S70892003,"Take You Home Girl",Innovative Life,none,659457219222,"Arabian Prince",Hip Hop & Rap,"KontorNewMedia-100","KontorNewMedia-include",monetize,"",TRUE
US2S71024003,A702488626938029,US2S71024003,"The Wind",Slave Riot,none,659457222420,"Young Jazz Rebels",Dance & Electronic,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S71024004,A159675813216484,US2S71024004,"Forces Unseen",Slave Riot,none,659457222420,"Young Jazz Rebels",Dance & Electronic,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S71024005,A149567033337145,US2S71024005,"On The Run From Mr. Charlie",Slave Riot,none,659457222420,"Young Jazz Rebels",Dance & Electronic,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
